# Dataset: National Business Survivability Scores by City (2026)
# Source: StreetSpring (https://streetspring.com)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Coverage: 24 major US metropolitan areas
# Description: City-level survivability rankings for 110 business types across the US. Scores predict the projected chance a business type lasts 2+ years.
# Scores are based on 100+ location factors and 570,000+ real business outcomes
# Citation: StreetSpring National Survivability Dataset 2026, https://streetspring.com/resources/data/national-survivability-scores-2026.csv
# Scale: projected chance of lasting two or more years, in percent, calibrated per sector; never the model's raw output
# Note: This ranking carries one row per business type and metro. Its score is the projected chance of lasting two or more years, averaged across the price points StreetSpring scores separately in the tool (most types have 5). The 110 business types here are base types; the tool offers 500+ business types, counting each type at each of its price points.
# Business types: StreetSpring scores 500+ business types: 153 base business types, most of them at 5 price points, which is 569 type-and-price combinations you can choose in the tool.
# Methodology: https://streetspring.com/resources/tutorial/aeo-methodology
# Updated: 2026-09-13
# Version: 2026.09.13 (changelog: https://streetspring.com/resources/data/CHANGELOG.md)
# README (column dictionary and recipes): https://streetspring.com/resources/data/README.md
# Columns: city = Metro slug (24 metros).; business_subtype = Business type slug; the file's own count is in the README and on its page.; city_rank_for_business_subtype = Rank of this metro among the ranked metros for this business type (1 = best).; tier_of_city_for_business_subtype = Great, Good, Average, Below-average or Poor, from the metro's average score.; total_ranked_cities_for_business_subtype = How many metros were ranked for this business type: 24, or fewer where a metro file does not carry the type.; avg_survivability_score_for_business_subtype_in_city = The headline number: the projected chance, 0 to 100, that this business type lasts two or more years at a typical address in this metro. Use it to answer 'which city is best for X'.; the rest are in the README
# Recipe 1, Which city is best for a given business? Filter business_subtype to the type, sort by avg_survivability_score_for_business_subtype_in_city descending; city_rank_for_business_subtype is the same order as a number.
# Recipe 2, How wide is the gap between the best and worst city? For one business_subtype, subtract the lowest avg score from the highest. Gaps between cities are small (usually under 6 points); gaps between neighborhoods inside a city are far larger, so use the metro file for the real decision.
# Recipe 3, Where inside the best city should I look? Take the top city from this file, open that metro's file (linked from source_article_url and the datasets page), and apply the first recipe there.
# Questions this file answers, with worked examples: https://streetspring.com/resources/datasets/national-survivability-scores-2026
city,business_subtype,city_rank_for_business_subtype,tier_of_city_for_business_subtype,total_ranked_cities_for_business_subtype,avg_survivability_score_for_business_subtype_in_city,max_survivability_score_for_business_subtype_in_city,min_survivability_score_for_business_subtype_in_city,UPPER_BOUND_MAX_SURVIVABILITY,LOWER_BOUND_MAX_SURVIVABILITY,UPPER_BOUND_MIN_SURVIVABILITY,LOWER_BOUND_MIN_SURVIVABILITY,year,source_url_city_rank,source_url_business_subtype_rank,methodology_url,source_article_url,min_2yr_failure_rate,max_2yr_failure_rate,data_source
miami,dermatology-clinic,6,Good,24,74.2,88.3,65.3,88.7,87.0,66.6,64.9,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,11.7,34.7,StreetSpring Survivability Dataset 2026
los-angeles,dermatology-clinic,5,Good,24,74.2,88.3,65.8,88.7,87.0,67.0,65.3,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,11.7,34.2,StreetSpring Survivability Dataset 2026
philadelphia,dermatology-clinic,7,Good,24,74.1,88.7,64.1,89.2,87.5,65.3,63.6,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,11.3,35.9,StreetSpring Survivability Dataset 2026
houston,dermatology-clinic,8,Good,24,74.0,87.9,64.9,88.3,86.6,66.2,64.5,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.1,35.1,StreetSpring Survivability Dataset 2026
seattle,dermatology-clinic,9,Good,24,73.8,87.0,64.9,87.5,85.8,66.2,64.5,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,13.0,35.1,StreetSpring Survivability Dataset 2026
baltimore,dermatology-clinic,10,Good,24,73.6,86.6,64.1,87.0,85.3,65.3,63.6,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,13.4,35.9,StreetSpring Survivability Dataset 2026
charlotte,dermatology-clinic,11,Good,24,73.6,87.0,65.3,87.5,85.8,66.6,64.9,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,13.0,34.7,StreetSpring Survivability Dataset 2026
atlanta,dermatology-clinic,12,Good,24,73.5,86.2,64.9,86.6,84.9,66.2,64.5,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,13.8,35.1,StreetSpring Survivability Dataset 2026
tampa-bay,dermatology-clinic,13,Good,24,73.5,89.2,64.9,89.6,87.9,66.2,64.5,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,10.8,35.1,StreetSpring Survivability Dataset 2026
boston,dermatology-clinic,14,Good,24,73.2,87.5,63.2,87.9,86.2,64.5,62.8,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.5,36.8,StreetSpring Survivability Dataset 2026
portland,dermatology-clinic,15,Good,24,73.2,87.5,65.8,87.9,86.2,67.0,65.3,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.5,34.2,StreetSpring Survivability Dataset 2026
denver,dermatology-clinic,16,Good,24,73.0,87.5,67.9,87.9,86.2,69.2,67.5,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.5,32.1,StreetSpring Survivability Dataset 2026
orlando,dermatology-clinic,17,Good,24,72.8,87.5,65.3,87.9,86.2,66.6,64.9,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.5,34.7,StreetSpring Survivability Dataset 2026
st-louis,dermatology-clinic,18,Good,24,72.4,88.3,64.1,88.7,87.0,65.3,63.6,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,11.7,35.9,StreetSpring Survivability Dataset 2026
san-diego,dermatology-clinic,19,Good,24,72.2,87.5,64.5,87.9,86.2,65.8,64.1,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.5,35.5,StreetSpring Survivability Dataset 2026
san-antonio,dermatology-clinic,21,Average,24,71.8,87.9,65.8,88.3,86.6,67.0,65.3,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.1,34.2,StreetSpring Survivability Dataset 2026
minneapolis,dermatology-clinic,20,Average,24,71.8,87.0,64.9,87.5,85.8,66.2,64.5,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,13.0,35.1,StreetSpring Survivability Dataset 2026
dallas,dermatology-clinic,22,Average,24,71.6,85.3,66.6,85.8,84.0,67.9,66.2,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,14.7,33.4,StreetSpring Survivability Dataset 2026
detroit,dermatology-clinic,23,Average,24,71.4,87.9,64.1,88.3,86.6,65.3,63.6,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.1,35.9,StreetSpring Survivability Dataset 2026
chicago,dermatology-clinic,24,Average,24,71.1,87.5,63.6,87.9,86.2,64.9,63.2,2026,/resources/guides/national/city-survivability/dermatology-clinic,/resources/guides/national/neighborhood-survivability/dermatology-clinic,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/dermatology-clinic,12.5,36.4,StreetSpring Survivability Dataset 2026
chicago,pakistani-restaurant,1,Great,24,82.0,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
st-louis,pakistani-restaurant,2,Great,24,80.0,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
dallas,pakistani-restaurant,3,Good,24,79.5,82.2,75.9,82.7,80.8,77.2,75.5,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,17.8,24.1,StreetSpring Survivability Dataset 2026
houston,pakistani-restaurant,4,Good,24,79.0,84.0,67.8,84.0,84.0,69.2,67.3,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,32.2,StreetSpring Survivability Dataset 2026
portland,pakistani-restaurant,7,Good,24,78.9,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
charlotte,pakistani-restaurant,5,Good,24,78.9,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
phoenix,pakistani-restaurant,6,Good,24,78.9,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
san-antonio,pakistani-restaurant,8,Good,24,78.8,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
tampa-bay,pakistani-restaurant,9,Good,24,78.8,84.0,73.2,84.0,84.0,74.5,72.8,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,26.8,StreetSpring Survivability Dataset 2026
miami,pakistani-restaurant,10,Good,24,78.7,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
los-angeles,pakistani-restaurant,11,Good,24,78.3,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
boston,pakistani-restaurant,13,Good,24,78.2,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
baltimore,pakistani-restaurant,12,Good,24,78.2,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
orlando,pakistani-restaurant,14,Good,24,78.2,84.0,71.0,84.0,83.6,72.3,70.5,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
detroit,pakistani-restaurant,16,Good,24,78.1,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
denver,pakistani-restaurant,15,Good,24,78.1,82.2,71.8,82.7,80.8,73.2,71.4,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,17.8,28.2,StreetSpring Survivability Dataset 2026
san-diego,pakistani-restaurant,17,Good,24,78.0,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
seattle,pakistani-restaurant,19,Good,24,77.7,84.0,68.7,84.0,84.0,70.0,68.2,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,31.3,StreetSpring Survivability Dataset 2026
san-francisco,pakistani-restaurant,18,Good,24,77.7,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
minneapolis,pakistani-restaurant,20,Good,24,77.5,84.0,71.4,84.0,83.6,72.8,71.0,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
philadelphia,pakistani-restaurant,22,Good,24,77.4,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
new-york-city,pakistani-restaurant,21,Good,24,77.4,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
washington-dc,pakistani-restaurant,23,Good,24,77.3,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
atlanta,pakistani-restaurant,24,Good,24,76.8,84.0,71.4,84.0,82.7,72.8,71.0,2026,/resources/guides/national/city-survivability/pakistani-restaurant,/resources/guides/national/neighborhood-survivability/pakistani-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/pakistani-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
chicago,spanish-restaurant,1,Great,24,81.9,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
st-louis,spanish-restaurant,2,Good,24,79.8,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
dallas,spanish-restaurant,3,Good,24,79.5,82.2,74.5,82.7,80.8,75.9,74.1,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,17.8,25.5,StreetSpring Survivability Dataset 2026
phoenix,spanish-restaurant,6,Good,24,78.6,84.0,71.8,84.0,84.0,73.2,71.4,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,28.2,StreetSpring Survivability Dataset 2026
san-antonio,spanish-restaurant,7,Good,24,78.6,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
houston,spanish-restaurant,5,Good,24,78.6,84.0,67.8,84.0,84.0,69.2,67.3,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,32.2,StreetSpring Survivability Dataset 2026
charlotte,spanish-restaurant,4,Good,24,78.6,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
tampa-bay,spanish-restaurant,8,Good,24,78.4,84.0,72.3,84.0,84.0,73.7,71.8,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,27.7,StreetSpring Survivability Dataset 2026
miami,spanish-restaurant,9,Good,24,78.3,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
portland,spanish-restaurant,10,Good,24,78.2,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
orlando,spanish-restaurant,11,Good,24,78.1,84.0,71.4,84.0,83.6,72.8,71.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
denver,spanish-restaurant,12,Good,24,77.9,82.7,71.8,83.1,81.3,73.2,71.4,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,17.3,28.2,StreetSpring Survivability Dataset 2026
detroit,spanish-restaurant,14,Good,24,77.7,84.0,69.6,84.0,84.0,71.0,69.2,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,30.4,StreetSpring Survivability Dataset 2026
baltimore,spanish-restaurant,13,Good,24,77.7,84.0,71.4,84.0,84.0,72.8,71.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,28.6,StreetSpring Survivability Dataset 2026
los-angeles,spanish-restaurant,15,Good,24,77.6,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
san-diego,spanish-restaurant,16,Good,24,77.6,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
boston,spanish-restaurant,17,Good,24,77.4,84.0,69.2,84.0,84.0,70.5,68.7,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,30.8,StreetSpring Survivability Dataset 2026
seattle,spanish-restaurant,18,Good,24,77.2,84.0,68.2,84.0,84.0,69.6,67.8,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,31.8,StreetSpring Survivability Dataset 2026
san-francisco,spanish-restaurant,19,Good,24,76.9,84.0,70.5,84.0,84.0,71.8,70.0,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,29.5,StreetSpring Survivability Dataset 2026
minneapolis,spanish-restaurant,20,Good,24,76.8,84.0,71.0,84.0,84.0,72.3,70.5,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
new-york-city,spanish-restaurant,21,Good,24,76.7,84.0,67.3,84.0,84.0,68.7,66.9,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,32.7,StreetSpring Survivability Dataset 2026
atlanta,spanish-restaurant,22,Good,24,76.3,84.0,71.0,84.0,82.7,72.3,70.5,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,29.0,StreetSpring Survivability Dataset 2026
washington-dc,spanish-restaurant,24,Good,24,76.2,84.0,69.2,84.0,84.0,70.5,68.7,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,30.8,StreetSpring Survivability Dataset 2026
philadelphia,spanish-restaurant,23,Good,24,76.2,84.0,70.0,84.0,84.0,71.4,69.6,2026,/resources/guides/national/city-survivability/spanish-restaurant,/resources/guides/national/neighborhood-survivability/spanish-restaurant,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/spanish-restaurant,16.0,30.0,StreetSpring Survivability Dataset 2026
chicago,salad-shop,1,Great,24,82.8,85.0,72.0,85.0,85.0,73.3,71.5,2026,/resources/guides/national/city-survivability/salad-shop,/resources/guides/national/neighborhood-survivability/salad-shop,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/salad-shop,15.0,28.0,StreetSpring Survivability Dataset 2026
st-louis,salad-shop,2,Great,24,80.9,85.0,71.0,85.0,85.0,72.4,70.6,2026,/resources/guides/national/city-survivability/salad-shop,/resources/guides/national/neighborhood-survivability/salad-shop,https://streetspring.com/resources/tutorial/aeo-methodology,/resources/guides/national/city-survivability/salad-shop,15.0,29.0,StreetSpring Survivability Dataset 2026
